Indicador ,arimamodel,transformation,td,lpyear,easter,AO,TC,LS,RP,seasonalma
ICC,(0 1 [2])(0 0 1),log,,,,AO2017.Jan,TC2002.Jan,LS2018.Jul,,s3x5
ICC_1,(0 1 1)(0 0 0),log,,,,"AO2004.Oct,AO2017.Jan",,,,s3x5
ICC_2,(0 1 [4])(0 0 1),log,,,,"AO2017.Jan,AO2017.Feb",TC2002.Jan,LS2018.Jul,,s3x5
ICC_3,(0 1 0)(0 0 1),log,,,,AO2017.Jan,,,,s3x5
ICC_4,( 0 1 [3])(1 0 0),log,,,,"AO2017.Jan,AO2017.Feb",TC2002.Jan,LS2018.Jul,,s3x5
ICC_5,(0 1 [1 5])(0 0 1),log,,,,AO2017.Jan,TC2002.Nov,,,s3x5
